id,gsm_out,lte,nr_dss,nr_nsa_sa,nr_gesamt
100mN58748E4938,3,3,2,3,3
100mN58748E4939,3,3,2,3,3
100mN58748E4940,3,3,2,3,3
100mN58748E4941,3,3,2,3,3
100mN58748E4942,3,3,2,3,3
100mN58748E4943,3,3,2,3,3
100mN58748E4944,3,3,2,3,3
100mN58748E4945,3,3,2,3,3
100mN58748E4946,3,3,2,3,3
100mN58748E4947,3,3,2,3,3
100mN58748E4948,3,3,2,3,3
100mN58748E4949,3,3,2,3,3
100mN58748E4950,3,3,2,3,3
100mN58748E4951,3,3,2,3,3
100mN58748E4952,3,3,2,3,3
100mN58748E4953,3,3,2,3,3
100mN58748E4954,3,3,2,3,3
100mN58748E4955,3,3,2,3,3
100mN58748E4956,3,3,2,3,3
100mN58748E4957,3,3,2,3,3
100mN58749E4878,3,3,2,3,3
100mN58749E4879,3,3,2,3,3
100mN58749E4880,3,3,2,3,3
100mN58749E4881,3,3,2,3,3
100mN58749E4882,3,3,2,3,3
100mN58749E4883,3,3,2,3,3
100mN58749E4884,3,3,2,3,3
100mN58749E4885,3,3,2,3,3
100mN58749E4886,3,3,2,3,3
100mN58749E4887,3,3,2,3,3
100mN58749E4888,3,3,2,3,3
100mN58749E4889,3,3,2,3,3
100mN58749E4890,3,3,2,3,3
100mN58749E4891,3,3,2,3,3
100mN58749E4892,3,3,2,3,3
100mN58749E4893,3,3,2,3,3
100mN58749E4894,3,3,2,3,3
100mN58749E4895,3,3,2,3,3
100mN58749E4896,3,3,2,3,3
100mN58749E4897,3,3,2,3,3
100mN58749E4898,3,3,2,3,3
100mN58749E4899,3,3,2,3,3
100mN58749E4900,3,3,2,3,3
100mN58749E4901,3,3,2,3,3
100mN58749E4902,3,3,2,3,3
100mN58749E4903,3,3,2,3,3
100mN58749E4904,3,3,2,3,3
100mN58749E4905,3,3,1,3,3
100mN58749E4906,3,3,2,3,3
100mN58749E4907,3,3,2,3,3
100mN58749E4908,3,3,2,3,3
100mN58749E4909,3,3,2,3,3
